seed,sim_name,sensibility_parameter,sensibility_value,nb_agregats_om,nb_chateaux_om,nb_gros_chateaux_om,nb_seigneurs_om,nb_eglises_om,nb_eglises_paroissiales_om,distance_eglises_paroissiales_om,proportion_fp_isoles_om,augmentation_charge_fiscale_om,total_duration
5.0,4_5_OM,apparition_chateaux,900,108,56,24,192,259,208,2101,0.1075,4.3564479920179595,233575
3.0,4_5_OM,apparition_chateaux,900,104,56,20,188,247,195,2143,0.10375,4.746067415730337,232604
10.0,4_5_OM,apparition_chateaux,920,91,52,17,194,255,201,1924,0.11325,5.618240717667581,185448
10.0,4_5_OM,apparition_chateaux,940,109,48,13,207,251,193,1689,0.1175,5.419885372539247,185793
1.0,4_5_OM,apparition_chateaux,940,95,48,16,193,245,194,1843,0.11025,3.230577689243028,201485
1.0,4_5_OM,apparition_chateaux,920,106,52,17,201,247,194,1623,0.11375,4.047559760956175,204630
2.0,4_5_OM,apparition_chateaux,920,103,52,17,197,254,209,1975,0.11775,3.9513473053892216,211616
2.0,4_5_OM,apparition_chateaux,940,103,48,14,195,235,187,2055,0.119,4.848802395209581,207082
6.0,4_5_OM,apparition_chateaux,920,107,52,19,199,250,194,1997,0.12275,5.180866965620329,205559
6.0,4_5_OM,apparition_chateaux,940,113,48,15,204,259,202,1780,0.13675,4.60388639760837,208802
7.0,4_5_OM,apparition_chateaux,920,118,52,18,194,242,192,2148,0.105,3.6273044344793224,207690
9.0,4_5_OM,apparition_chateaux,920,108,52,21,196,254,206,1727,0.1155,5.369695456814777,208705
8.0,4_5_OM,apparition_chateaux,920,113,52,20,199,241,187,1979,0.119,4.2285,217770
7.0,4_5_OM,apparition_chateaux,940,104,48,17,202,255,203,1845,0.12875,2.249377179870453,210705
8.0,4_5_OM,apparition_chateaux,940,125,48,17,194,259,203,1512,0.121,4.89875,210708
9.0,4_5_OM,apparition_chateaux,940,117,48,17,196,251,202,1953,0.10875,3.7798302546180724,213480
4.0,4_5_OM,apparition_chateaux,940,108,48,14,182,236,186,2263,0.098,4.809,220490
4.0,4_5_OM,apparition_chateaux,920,108,52,19,182,255,205,1835,0.10675,6.039,227151
5.0,4_5_OM,apparition_chateaux,920,105,52,21,193,250,202,1868,0.13225,6.151908206535295,221809
3.0,4_5_OM,apparition_chateaux,940,112,48,16,196,258,210,1758,0.1105,3.0853932584269663,209971
3.0,4_5_OM,apparition_chateaux,920,121,52,23,202,252,204,1836,0.09675,3.0808988764044947,221831
5.0,4_5_OM,apparition_chateaux,940,109,48,14,196,251,198,1939,0.11625,3.4983786480419057,225763
10.0,4_5_OM,apparition_chateaux,980,99,40,9,203,256,200,1850,0.11175,3.0956890107151755,176561
10.0,4_5_OM,apparition_chateaux,960,107,44,8,198,236,175,1653,0.135,4.12285073511089,181946
1.0,4_5_OM,apparition_chateaux,980,110,40,4,197,246,200,1747,0.104,2.7651892430278884,202819
2.0,4_5_OM,apparition_chateaux,980,107,40,7,196,239,192,2105,0.1355,2.816367265469062,193616
2.0,4_5_OM,apparition_chateaux,960,114,44,13,197,252,201,1894,0.1325,4.214570858283433,196630
1.0,4_5_OM,apparition_chateaux,960,109,44,14,193,244,201,2033,0.10525,3.170318725099601,219408
6.0,4_5_OM,apparition_chateaux,960,120,44,12,210,257,203,2107,0.11225,4.180368709516691,199454
6.0,4_5_OM,apparition_chateaux,980,114,40,8,211,252,202,2204,0.109,2.936970602889885,197114
7.0,4_5_OM,apparition_chateaux,960,105,44,13,201,245,198,2079,0.119,2.1046337817638268,195974
9.0,4_5_OM,apparition_chateaux,960,102,44,9,205,243,192,2011,0.12125,3.9358462306540187,194433
8.0,4_5_OM,apparition_chateaux,960,108,44,12,184,271,216,1601,0.1255,3.41475,206512
9.0,4_5_OM,apparition_chateaux,980,113,40,9,198,256,205,1844,0.11575,2.9243634548177733,196993
7.0,4_5_OM,apparition_chateaux,980,103,40,9,207,250,203,2055,0.11475,2.3161434977578477,209496
8.0,4_5_OM,apparition_chateaux,980,123,40,9,206,251,198,2069,0.11575,3.1975,213054
10.0,4_5_OM,apparition_chateaux,1020,104,32,3,207,236,178,2059,0.13925,2.364066782955395,170034
4.0,4_5_OM,apparition_chateaux,960,96,44,14,188,246,197,1649,0.1095,3.34775,214767
10.0,4_5_OM,apparition_chateaux,1000,91,36,5,198,232,176,1991,0.13675,2.302267630201844,178264
4.0,4_5_OM,apparition_chateaux,980,103,40,8,192,248,193,1820,0.116,2.75475,215933
3.0,4_5_OM,apparition_chateaux,980,111,40,9,190,235,186,2145,0.11225,2.222721598002497,206974
3.0,4_5_OM,apparition_chateaux,960,105,44,11,192,252,203,1631,0.13375,2.9233458177278404,215536
5.0,4_5_OM,apparition_chateaux,960,118,44,8,186,241,195,2281,0.13175,3.694188076827139,222834
5.0,4_5_OM,apparition_chateaux,980,118,40,7,190,248,194,2161,0.1155,3.0414068346220997,215691
2.0,4_5_OM,apparition_chateaux,1020,93,32,3,193,245,199,1825,0.1465,2.3318363273453095,186775
2.0,4_5_OM,apparition_chateaux,1000,111,36,4,197,248,200,2102,0.12775,2.277445109780439,192277
1.0,4_5_OM,apparition_chateaux,1000,101,36,5,195,235,183,1661,0.1345,2.2691733067729083,210509
1.0,4_5_OM,apparition_chateaux,1020,121,32,2,194,240,190,1977,0.10575,1.9641434262948207,200589
7.0,4_5_OM,apparition_chateaux,1000,109,36,5,187,247,201,2102,0.106,2.201046337817638,194089
6.0,4_5_OM,apparition_chateaux,1000,125,36,3,205,258,204,1667,0.1305,1.9394618834080717,203930
6.0,4_5_OM,apparition_chateaux,1020,130,32,3,202,260,208,1910,0.11975,2.114349775784753,201677
9.0,4_5_OM,apparition_chateaux,1000,110,36,5,204,248,194,1647,0.12825,2.253120319520719,193619
9.0,4_5_OM,apparition_chateaux,1020,104,32,3,205,241,189,1847,0.15075,2.001497753369945,190701
8.0,4_5_OM,apparition_chateaux,1000,109,36,4,192,255,203,1581,0.13525,2.222,208362
7.0,4_5_OM,apparition_chateaux,1020,113,32,1,187,244,197,2192,0.13075,2.0127055306427506,198056
10.0,4_5_OM,apparition_chateaux,1040,101,28,0,199,239,178,2126,0.13725,2.0122103164714678,174214
8.0,4_5_OM,apparition_chateaux,1020,139,32,1,201,258,204,2130,0.13025,1.91875,201946
10.0,4_5_OM,apparition_chateaux,1060,105,24,0,199,244,185,1952,0.14525,1.8888612010964367,168093
4.0,4_5_OM,apparition_chateaux,1000,99,36,7,184,234,184,2038,0.1145,2.2095,214875
3.0,4_5_OM,apparition_chateaux,1000,105,36,5,185,247,199,1525,0.12875,2.2244694132334586,204079
4.0,4_5_OM,apparition_chateaux,1020,96,32,2,191,253,199,1771,0.14075,2.2415,216747
3.0,4_5_OM,apparition_chateaux,1020,102,32,1,196,246,196,1973,0.11775,2.0539325842696634,213686
5.0,4_5_OM,apparition_chateaux,1000,113,36,3,195,245,193,2426,0.11625,2.390870541282115,218454
5.0,4_5_OM,apparition_chateaux,1020,97,32,1,191,248,199,2160,0.124,1.9463706660014966,218779
2.0,4_5_OM,apparition_chateaux,1060,119,24,0,193,241,194,2071,0.13125,2.075099800399202,179948
2.0,4_5_OM,apparition_chateaux,1040,92,28,0,198,258,209,1369,0.16575,2.177395209580838,185810
1.0,4_5_OM,apparition_chateaux,1040,111,28,0,187,250,202,1743,0.11375,1.9165836653386454,201451
1.0,4_5_OM,apparition_chateaux,1060,116,24,0,202,242,193,1941,0.121,1.9173306772908367,208036
6.0,4_5_OM,apparition_chateaux,1040,124,28,0,197,269,221,1678,0.11775,1.9980069755854506,193057
